AS DIRECTED , NEW PATCH ONCE A WEEKFOR 3 WEEKS AND TAKE 1 WEEK OFF|U UTD, APP NEW PATCH Q WEEK FOR 3 WEEKS AND TK 1 WEEK OFF|PTWK|150-20MCG/24HR
1 TAB(S) ONCE A DAY|TK 1 T PO D|TABS|
1 EACH ONCE A DAY|TK 1 T PO D|TB24|
1 PO BID|TK 1 T PO BID|TABS|
TAKE 1 TABLET TWICE DAILY UNTIL FINISHED.|TK 1 T PO BID UNTIL FINISHED|TABS|500
1 PO Q 6-8 HRS. PRN|TK 1 T PO Q 6 TO 8 H PRN|TABS|
ONCE A DAY| TK 1 T PO QD|TBEC|40
1 TWICE A DAY| TK 1 T PO BID|TABS|500
2 TWICE A DAY|TK 2 CS PO BID|CAPS|500
1 PO QD| TK 1 T PO QD|TABS|
2 PUFFS Q4H PRN|INHALE 2 PUFFS PO Q 4 H PRN|AERS|
1 DROP RIGHT EYEBID X 5 DAYS|INSTILL 1 GTT OD BID FOR 5 DAYS|SOLN|
1 TABLET BY MOUTH AS DIRECTED|TK 1 T PO UTD|TABS|
17 GRAM 2TIMES/WEEK|MIX 17 GRAMS WITH LIQUID AND TAKE PO TWICE PER WEEK|POWD|
USE 1 UNIT DOSE EVERY 4-6 HOURS AS NEEDED FOR WHEEZING .|USE 1 VIAL VIA NEBULIZER Q 4 TO 6 H PRF WHEEZING|NEBU|(2.5 MG/3ML)
TAKE 1 TABLET EVERY 6 HOURS FOR NAUSEA/VOMITING|TK 1 T PO Q 6 H NV|TABS|
TAKE AS DIRECTED ONCE A DAY ORALLY|UTD|SUSR|100
1 PO QD|TK 1 C PO QD|CPDR|
5 ML GARGLES Q2HRS PRN SORE THROAT|G "JASMIN" UTD|SUPP|
1 PO QD|TK 1 T PO D|TABS|
1 TAB(S) ONCE A DAY|TK 1 T PO D|TABS|
1 PO QD|TK 1 T PO D|TABS|
1 PO TID|TK 1 T PO TID|TABS|
TAKE 2 CAPSULES DAILY|TK 2 CS PO D|CAPS|
1 PO BID|TK 1 T PO BID|TABS|
1 PO QHS|TK 1 T PO QHS|TABS|
1 TABLET AT NIGHT ONCE A DAY FOR ALLERGIES|TK 1 T PO HS FOR ALLERGIES|TABS|
1/2 TSP Q AM|G ╜ TEA PO QAM|SYRP|
USE WITH INHALERS|USE UTD WITH INHALERS. 1 FOR HOME AND 1 FOR SCHOOL.|MISC|
INHALE 1 PUFF BYMOUTH DAILY|INHALE 1 PUFF PO D|AEPB|220
APPLY TO AFFECTED SKIN BID PRN|APP TO AFFECTED SKIN BID PRN|LOTN|1
TAKE 4 TAB(S) ONCE CHEWED|TK UD|CHEW|4
TAKE 1 TABLET AT BEDTIME.| TK 1 T PO QHS|TABS|50
TAKE 10 MLS EVERY 4 HOURS AS NEEDED FOR CONGESTION AND COUGH|G "SHYLA" 10 ML PO Q 4 H PRF CNC|SYRP|2
TAKE 3 TAB(S) FOR 3 DAYS, THEN 2TABS FOR 3 DAYS, THEN 1 TAB FOR 3 DAYS ORALLY|TK 3 TS PO FOR 3 DAYS, 2 TS FOR 3 DAYS, THEN 1 T FOR 3 DAYS|TABS|20
INHALE 1-2 PUFFS EVERY 4-6 HOURS AS NEEDED AND AS DIRECTED.|INHALE 1 OR 2 PUFFS PO Q FOUR TO SIX HOURS PRN AND UTD|AERS|108 (90 Base)
APPLY SPARINGLY TO AFFECTED AREA(S) 3 TIMES A DAY|APP SPARINGLY AA TID|CREA|0.05
TAKE 2 TABLETS DAILY IN THE MORNING.|TK 2 TS PO QAM|TABS|100
TAKE 2 G 4 TIMES A DAY APPLIED TOPICALLY|APP 2 GRAMS TOPICALLY QID|GEL |1
TAKE 1 TAB DAILY|CSW 1 T PO ONCE D|CHEW|
TAKE 1 CAP(S) 1 IMES A DAY ORALLY| TK ONE C PO BID|CAPS|75
TAKE 1 APP 2 TIMES A DAY APPLIED TOPICALLY|APP AA BID|OINT|
TAKE 1 APP 3 TIMES A DAY FOR RASH APPLIED TOPICALLY|APP AA TID FOR RASH|OINT|
TAKE 1 APP 2 TIMES A DAY FOR FEET RASH APPLIED TOPICALLY|APPLY BID TO FEET RASH|CREA|1
TAKE 1 APP ONCE A DAY FOR FACIAL RASH APPLIED TOPICALLY|APPLY TO FACIAL RASH ONCE A DAY|CREA|
